Time;Number of packets received on interface Network adapter 1
2019-03-29T17:00:00+01:00;112
2019-03-29T18:00:00+01:00;86
2019-03-29T19:00:00+01:00;76
2019-03-29T20:00:00+01:00;75
2019-03-29T21:00:00+01:00;81
2019-03-29T22:00:00+01:00;74
2019-03-29T23:00:00+01:00;56
2019-03-30T00:00:00+01:00;42
2019-03-30T01:00:00+01:00;60
2019-03-30T02:00:00+01:00;41
2019-03-30T03:00:00+01:00;26
2019-03-30T04:00:00+01:00;29
2019-03-30T05:00:00+01:00;20
2019-03-30T06:00:00+01:00;17
2019-03-30T07:00:00+01:00;30
2019-03-30T08:00:00+01:00;31
2019-03-30T09:00:00+01:00;30
2019-03-30T10:00:00+01:00;25
2019-03-30T11:00:00+01:00;29
2019-03-30T12:00:00+01:00;23
2019-03-30T13:00:00+01:00;27
2019-03-30T14:00:00+01:00;34
2019-03-30T15:00:00+01:00;24
2019-03-30T16:00:00+01:00;27
2019-03-30T17:00:00+01:00;29
2019-03-30T18:00:00+01:00;25
2019-03-30T19:00:00+01:00;23
2019-03-30T20:00:00+01:00;25
2019-03-30T21:00:00+01:00;29
2019-03-30T22:00:00+01:00;30
2019-03-30T23:00:00+01:00;22
2019-03-31T00:00:00+01:00;30
