Time;Free disk space on /
2019-03-20T10:00:00+01:00;227933607936
2019-03-20T11:00:00+01:00;227838941184
2019-03-20T12:00:00+01:00;227838941184
2019-03-20T13:00:00+01:00;227838941184
2019-03-20T14:00:00+01:00;227763505561
2019-03-20T15:00:00+01:00;227733682176
2019-03-20T16:00:00+01:00;227733682176
2019-03-20T17:00:00+01:00;227651457092
2019-03-20T18:00:00+01:00;227628713984
2019-03-20T19:00:00+01:00;227628713984
2019-03-20T20:00:00+01:00;227628713984
2019-03-20T21:00:00+01:00;227577971438
2019-03-20T22:00:00+01:00;227523729408
2019-03-20T23:00:00+01:00;227523729408
2019-03-21T00:00:00+01:00;203856563200
2019-03-21T01:00:00+01:00;227857709056
2019-03-21T02:00:00+01:00;227857709056
2019-03-21T03:00:00+01:00;227837230250
2019-03-21T04:00:00+01:00;227778915737
2019-03-21T05:00:00+01:00;227803742208
2019-03-21T06:00:00+01:00;227803742208
2019-03-21T07:00:00+01:00;227803742208
2019-03-21T08:00:00+01:00;227803742208
2019-03-21T09:00:00+01:00;227704039936
2019-03-21T10:00:00+01:00;227698792448
2019-03-21T11:00:00+01:00;227698792448
2019-03-21T12:00:00+01:00;227593299968
2019-03-21T13:00:00+01:00;227593299968
2019-03-21T14:00:00+01:00;227572079001
2019-03-21T15:00:00+01:00;227487195136
2019-03-21T16:00:00+01:00;227390889813
2019-03-21T17:00:00+01:00;227382134784
2019-03-21T18:00:00+01:00;227375004467
2019-03-21T19:00:00+01:00;227275180032
2019-03-21T20:00:00+01:00;227275180032
2019-03-21T21:00:00+01:00;227275180032
2019-03-21T22:00:00+01:00;227275180032
2019-03-21T23:00:00+01:00;227275180032
2019-03-22T00:00:00+01:00;203448517358
2019-03-22T01:00:00+01:00;227646259200
2019-03-22T02:00:00+01:00;227646259200
2019-03-22T03:00:00+01:00;227621178265
2019-03-22T04:00:00+01:00;227615463424
2019-03-22T05:00:00+01:00;227622611353
2019-03-22T06:00:00+01:00;227825477632
2019-03-22T07:00:00+01:00;227825477632
2019-03-22T08:00:00+01:00;227792259754
2019-03-22T09:00:00+01:00;227720579072
2019-03-22T10:00:00+01:00;227717072622
2019-03-22T11:00:00+01:00;227615385600
2019-03-22T12:00:00+01:00;227615385600
2019-03-22T13:00:00+01:00;227615385600
2019-03-22T14:00:00+01:00;227569721002
2019-03-22T15:00:00+01:00;227510005760
2019-03-22T16:00:00+01:00;227510005760
2019-03-22T17:00:00+01:00;227510005760
2019-03-22T18:00:00+01:00;227408680857
2019-03-22T19:00:00+01:00;227403347968
2019-03-22T20:00:00+01:00;227403347968
2019-03-22T21:00:00+01:00;227403347968
2019-03-22T22:00:00+01:00;227403347968
2019-03-22T23:00:00+01:00;227403347968
2019-03-23T00:00:00+01:00;194955395106
2019-03-23T01:00:00+01:00;218029070336
2019-03-23T02:00:00+01:00;218029070336
2019-03-23T03:00:00+01:00;218000785851
2019-03-23T04:00:00+01:00;217992105984
2019-03-23T05:00:00+01:00;217992105984
2019-03-23T06:00:00+01:00;217992105984
2019-03-23T07:00:00+01:00;217979173478
2019-03-23T08:00:00+01:00;217555828633
2019-03-23T09:00:00+01:00;217604186112
2019-03-23T10:00:00+01:00;217604186112
2019-03-23T11:00:00+01:00;217604186112
2019-03-23T12:00:00+01:00;217604186112
2019-03-23T13:00:00+01:00;217604186112
2019-03-23T14:00:00+01:00;217604186112
2019-03-23T15:00:00+01:00;217504384614
2019-03-23T16:00:00+01:00;217497255936
2019-03-23T17:00:00+01:00;217497255936
2019-03-23T18:00:00+01:00;217497255936
2019-03-23T19:00:00+01:00;217497255936
2019-03-23T20:00:00+01:00;217497255936
2019-03-23T21:00:00+01:00;217497255936
2019-03-23T22:00:00+01:00;217446546056
2019-03-23T23:00:00+01:00;217392338944
2019-03-24T00:00:00+01:00;193484264516
2019-03-24T01:00:00+01:00;217550700544
2019-03-24T02:00:00+01:00;217550700544
2019-03-24T03:00:00+01:00;217464703317
2019-03-24T04:00:00+01:00;217433356288
2019-03-24T05:00:00+01:00;217433356288
2019-03-24T06:00:00+01:00;217433356288
2019-03-24T07:00:00+01:00;217723081523
2019-03-24T08:00:00+01:00;217756372992
2019-03-24T09:00:00+01:00;217756372992
2019-03-24T10:00:00+01:00;217756372992
2019-03-24T11:00:00+01:00;217756372992
2019-03-24T12:00:00+01:00;217756372992
2019-03-24T13:00:00+01:00;217756372992
2019-03-24T14:00:00+01:00;217752876987
2019-03-24T15:00:00+01:00;217651492864
2019-03-24T16:00:00+01:00;217651492864
2019-03-24T17:00:00+01:00;217651492864
2019-03-24T18:00:00+01:00;217651492864
2019-03-24T19:00:00+01:00;217651492864
2019-03-24T20:00:00+01:00;217651492864
2019-03-24T21:00:00+01:00;217651492864
