Time;Number of packets transmitted on interface Network adapter 1
2019-03-24T13:00:00+01:00;7443
2019-03-24T14:00:00+01:00;13746
2019-03-24T15:00:00+01:00;16845
2019-03-24T16:00:00+01:00;11879
2019-03-24T17:00:00+01:00;8901
2019-03-24T18:00:00+01:00;10600
2019-03-24T19:00:00+01:00;19498
2019-03-24T20:00:00+01:00;11603
2019-03-24T21:00:00+01:00;10334
2019-03-24T22:00:00+01:00;7462
2019-03-24T23:00:00+01:00;14391
2019-03-25T00:00:00+01:00;10332
2019-03-25T01:00:00+01:00;10418
2019-03-25T02:00:00+01:00;10078
2019-03-25T03:00:00+01:00;13774
2019-03-25T04:00:00+01:00;51718
2019-03-25T05:00:00+01:00;14479
2019-03-25T06:00:00+01:00;26069
2019-03-25T07:00:00+01:00;26411
2019-03-25T08:00:00+01:00;23494
2019-03-25T09:00:00+01:00;20684
2019-03-25T10:00:00+01:00;43264
2019-03-25T11:00:00+01:00;30753
2019-03-25T12:00:00+01:00;32752
2019-03-25T13:00:00+01:00;24247
2019-03-25T14:00:00+01:00;36195
2019-03-25T15:00:00+01:00;26659
2019-03-25T16:00:00+01:00;26934
2019-03-25T17:00:00+01:00;21220
2019-03-25T18:00:00+01:00;32431
2019-03-25T19:00:00+01:00;20238
2019-03-25T20:00:00+01:00;12576
2019-03-25T21:00:00+01:00;9033
2019-03-25T22:00:00+01:00;7790
2019-03-25T23:00:00+01:00;7536
2019-03-26T00:00:00+01:00;8583
2019-03-26T01:00:00+01:00;8911
2019-03-26T02:00:00+01:00;8952
2019-03-26T03:00:00+01:00;9730
2019-03-26T04:00:00+01:00;8822
2019-03-26T05:00:00+01:00;8549
2019-03-26T06:00:00+01:00;45895
2019-03-26T07:00:00+01:00;18007
2019-03-26T08:00:00+01:00;19980
2019-03-26T09:00:00+01:00;22261
2019-03-26T10:00:00+01:00;40903
2019-03-26T11:00:00+01:00;22210
2019-03-26T12:00:00+01:00;20778
2019-03-26T13:00:00+01:00;20606
2019-03-26T14:00:00+01:00;51646
2019-03-26T15:00:00+01:00;27366
2019-03-26T16:00:00+01:00;22502
2019-03-26T17:00:00+01:00;20189
2019-03-26T18:00:00+01:00;43355
2019-03-26T19:00:00+01:00;17411
2019-03-26T20:00:00+01:00;11856
2019-03-26T21:00:00+01:00;9784
2019-03-26T22:00:00+01:00;8840
2019-03-26T23:00:00+01:00;11919
2019-03-27T00:00:00+01:00;9547
2019-03-27T01:00:00+01:00;7078
2019-03-27T02:00:00+01:00;8657
2019-03-27T03:00:00+01:00;19887
2019-03-27T04:00:00+01:00;8450
2019-03-27T05:00:00+01:00;20070
2019-03-27T06:00:00+01:00;38222
