"Time	CPU usage	ANB_read	ANB_write	AN_read	AN_write	Free_disk	B_rec	B_trans	P_rec	P_trans	Host_memory	Guest_memory	Com_storage"
"2019-03-05T17:00:00+01:00	2790016666	61900	829081	0	32	2,34617E+11	119739	223163	21541	24776	17201819374	3509828539	4,93223E+11"
"2019-03-05T18:00:00+01:00	4012383333	29815	999645	1	36	2,34569E+11	133461	159829	23613	26314	17199949414	3801961813	4,93185E+11"
"2019-03-05T19:00:00+01:00	2698583333	3447	1325192	0	44	2,34512E+11	85026	97894	15416	16679	17199390173	3561488384	4,93185E+11"
"2019-03-05T20:00:00+01:00	2142050000	6621	1032840	0	36	2,34512E+11	80145	97331	14513	16182	17201260134	3103208243	4,93185E+11"
"2019-03-05T21:00:00+01:00	2851483333	76953	1222570	4	41	2,34512E+11	97297	113425	17583	19735	17201050419	3807694028	4,93185E+11"
"2019-03-05T22:00:00+01:00	4703266666	456311	4570965	25	107	2,34512E+11	121821	146961	22261	25470	17200438749	4921508932	4,93185E+11"
"2019-03-05T23:00:00+01:00	2948133333	5512	1162018	0	40	2,34414E+11	113885	125730	19653	22502	17200840704	3532827306	4,93185E+11"
"2019-03-06T00:00:00+01:00	3904966666	21241088	17029495	255	255	2,13075E+11	91255	91460	14337	15832	17199879509	7936584362	4,93185E+11"
"2019-03-06T01:00:00+01:00	3559816666	1829427	2326920	108	45	2,34918E+11	85640	99925	15184	17021	17199844556	5419739818	4,93232E+11"
"2019-03-06T02:00:00+01:00	7131700000	3116049	4421734	145	113	2,34988E+11	117452	140151	21637	24478	17199792128	7578652945	4,93373E+11"
"2019-03-06T03:00:00+01:00	12407666666	735129	11075788	42	243	2,34937E+11	89548	107246	16514	15883	17199792128	6828466722	4,93373E+11"
"2019-03-06T04:00:00+01:00	12602066666	547379	11877137	29	255	2,34822E+11	1306299	166894	35721	33703	17199792128	7054679517	4,93373E+11"
"2019-03-06T05:00:00+01:00	12829083333	430592	10181171	21	233	2,3469E+11	86903	100539	15860	17738	17199792128	6527822506	4,93373E+11"
"2019-03-06T06:00:00+01:00	12360816666	425574	9335534	23	219	2,34556E+11	87227	107366	16002	17915	17199792128	6522107767	4,93373E+11"
"2019-03-06T07:00:00+01:00	12930800000	305749	9673984	14	213	2,3445E+11	50056	74632	9637	10741	17199792128	6324538572	4,93373E+11"
"2019-03-06T08:00:00+01:00	12324816666	389307	9240251	21	214	2,34372E+11	56081	66082	10558	11487	17199792128	6533642103	4,93373E+11"
"2019-03-06T09:00:00+01:00	12638416666	364526	10631526	19	241	2,34266E+11	71850	85384	13367	15049	17199792128	6602393736	4,93373E+11"
"2019-03-06T10:00:00+01:00	10162450000	731289	4993314	35	120	2,3418E+11	270404	373913	46113	53329	17199949414	6192872379	4,93373E+11"
"2019-03-06T11:00:00+01:00	6318133333	743680	3836535	33	103	2,33936E+11	135987	335411	24286	29277	17199792128	5886478472	4,93373E+11"
"2019-03-06T12:00:00+01:00	2659166666	160733	3426389	7	95	2,339E+11	59357	67123	11235	11549	17199862033	4285914589	4,93373E+11"
"2019-03-06T13:00:00+01:00	2779566666	86766	2282137	4	67	2,339E+11	63744	74478	12020	12856	17200298939	4016657749	4,93461E+11"
"2019-03-06T14:00:00+01:00	7050650000	639590	2423142	28	74	2,339E+11	238933	371473	42504	49829	17200263987	5013102045	4,93373E+11"
"2019-03-06T15:00:00+01:00	5243016666	106752	2532710	5	70	2,339E+11	146739	264942	26544	30785	17200596036	5013136998	4,93373E+11"
"2019-03-06T16:00:00+01:00	2233350000	42205	2311133	2	67	2,339E+11	46540	79479	9190	10054	17200665941	4414784580	4,93373E+11"
"2019-03-06T17:00:00+01:00	1576600000	12526	1505518	0	48	2,339E+11	48878	54323	9742	10450	17200753322	3764649984	4,93373E+11"
"2019-03-06T18:00:00+01:00	6033916666	83251	1747933	4	58	2,33817E+11	244411	286720	42661	48040	17200805751	4374728977	4,93373E+11"
"2019-03-06T19:00:00+01:00	3359950000	45960	2215918	2	71	2,33792E+11	133154	156842	23826	26432	17200840704	3833349188	4,93373E+11"
"2019-03-06T20:00:00+01:00	874300000	938	1361305	0	42	2,33792E+11	21640	22937	4882	5062	17200770798	3163448934	4,93373E+11"
"2019-03-06T21:00:00+01:00	772050000	18926	606054	1	23	2,33708E+11	29269	33536	6058	6525	17200823227	2356010461	4,93373E+11"
"2019-03-06T22:00:00+01:00	5035950000	87040	944878	5	36	2,33687E+11	212138	257177	38050	43536	17200840704	3819106030	4,93373E+11"
"2019-03-06T23:00:00+01:00	3464816666	39953	836147	2	31	2,33687E+11	137762	151517	22686	26332	17200840704	3492719274	4,93373E+11"
"2019-03-07T00:00:00+01:00	2614000000	20869461	17611758	251	239	2,09316E+11	33092	23517	4808	4870	17199914461	8045356646	4,93373E+11"
"2019-03-07T01:00:00+01:00	1781783333	369476	676983	26	17	2,33989E+11	19200	18756	4272	4270	17199809604	3040363588	4,93378E+11"
"2019-03-07T02:00:00+01:00	4874800000	523195	1081719	27	38	2,33893E+11	202052	245691	36086	41316	17199949414	4638008934	4,93389E+11"
"2019-03-07T03:00:00+01:00	3403716666	361625	2441796	21	48	2,33915E+11	132454	158583	24522	27798	17199844556	4764082722	4,93389E+11"
"2019-03-07T04:00:00+01:00	791533333	21265	3359795	0	41	2,33919E+11	534937	44117	11736	11513	17199058124	2894349380	4,93389E+11"
"2019-03-07T05:00:00+01:00	551933333	5734	359509	0	16	2,33941E+11	22050	22852	4825	5027	17196646400	2052570043	4,93389E+11"
"2019-03-07T06:00:00+01:00	4978000000	39662	827989	1	31	2,33941E+11	197717	237994	35672	40367	17198306645	3464093149	4,93389E+11"
"2019-03-07T07:00:00+01:00	3796250000	66235	820616	3	31	2,33941E+11	147848	177066	26350	29864	17199460078	3681602764	4,93389E+11"
"2019-03-07T08:00:00+01:00	2503283333	127078	726766	7	27	2,33885E+11	81390	95505	14878	16304	17200089224	3375366144	4,93389E+11"
"2019-03-07T09:00:00+01:00	2151516666	234222	1218918	5	39	2,33836E+11	70485	256187	13559	15521	17201330039	3532757401	4,93389E+11"
"2019-03-07T10:00:00+01:00	5669750000	497220	1302647	9	39	2,33832E+11	241442	747758	43814	54496	17200054272	4136964369	4,9357E+11"
"2019-03-07T11:00:00+01:00	4431733333	139144	1006455	4	34	2,33731E+11	164164	376541	29706	35867	17200648465	4059631889	4,93389E+11"
"2019-03-07T12:00:00+01:00	2347833333	48503	943308	2	34	2,33731E+11	81561	127914	15582	17695	17200840704	2983076386	4,93389E+11"
"2019-03-07T13:00:00+01:00	2050650000	48810	1149593	0	39	2,33731E+11	71116	160153	13665	15826	17200963037	3152019456	4,93389E+11"
"2019-03-07T14:00:00+01:00	5580066666	48520	1059925	2	40	2,33704E+11	220177	274585	39735	45058	17201032942	3544204356	4,93389E+11"
"2019-03-07T15:00:00+01:00	4750016666	81834	1412283	1	48	2,33626E+11	171298	256887	30943	35255	17201085371	3756086613	4,93389E+11"
"2019-03-07T16:00:00+01:00	2092283333	5546	1111859	0	37	2,33626E+11	76936	84258	14427	15380	17201155276	3209324134	4,93389E+11"
"2019-03-07T17:00:00+01:00	1633016666	5154	1082299	0	38	2,33626E+11	61934	74888	11395	12419	17200858180	3063274973	4,93389E+11"
"2019-03-07T18:00:00+01:00	4404466666	10700	888849	0	34	2,33571E+11	178534	226372	32067	36809	17200858180	3401091208	4,93389E+11"
"2019-03-07T19:00:00+01:00	3772866666	5427	931430	0	33	2,3352E+11	143581	177305	26320	29947	17200840704	3667342131	4,93389E+11"
"2019-03-07T20:00:00+01:00	1116116666	1655	746205	0	25	2,3352E+11	35003	44407	6974	7289	17200840704	2625162444	4,93389E+11"
"2019-03-07T21:00:00+01:00	1169800000	1126	895863	0	32	2,3352E+11	37239	41062	7062	7457	17200875656	2487764036	4,93389E+11"
"2019-03-07T22:00:00+01:00	4287883333	7543	799044	0	31	2,3352E+11	177766	211063	31738	36232	17200840704	3260791739	4,93389E+11"
"2019-03-07T23:00:00+01:00	3880316666	3362	890641	0	33	2,33415E+11	142438	165700	25216	28613	17201574707	3758935244	4,93389E+11"
"2019-03-08T00:00:00+01:00	3127800000	22470263	18821222	243	276	2,10914E+11	44868	41574	7603	7962	17200071748	7862117990	4,93389E+11"
"2019-03-08T01:00:00+01:00	2150416666	327287	792507	26	26	2,33731E+11	28672	30737	5816	6051	17199827080	3495515477	4,93412E+11"
"2019-03-08T02:00:00+01:00	4142700000	773273	1141248	34	34	2,33671E+11	166024	194986	29672	32853	17200001843	4511987575	4,93455E+11"
"2019-03-08T03:00:00+01:00	4226383333	981026	3185066	31	57	2,33684E+11	1012036	217600	39454	41643	17200753322	4786994107	4,93455E+11"
"2019-03-08T04:00:00+01:00	1104433333	28091	644471	1	24	2,33795E+11	34338	36317	6933	7189	17200124177	2544998809	4,93455E+11"
"2019-03-08T05:00:00+01:00	760800000	3293	573354	0	22	2,33795E+11	28535	30702	5984	6151	17194129817	2227122995	4,93455E+11"
"2019-03-08T06:00:00+01:00	3691733333	68590	820821	3	31	2,33795E+11	150681	181862	26653	30275	17199722222	3192022630	4,93455E+11"
"2019-03-08T07:00:00+01:00	4368866666	91852	770884	5	30	2,33795E+11	174438	207889	31228	34876	17200526131	3681672669	4,93455E+11"
"2019-03-08T08:00:00+01:00	2767483333	148070	1081753	8	36	2,33795E+11	90385	102246	16724	17885	17197555165	3378144870	4,93481E+11"
"2019-03-08T09:00:00+01:00	2386316666	71918	1148142	3	37	2,33718E+11	71202	84667	12768	14020	17199267840	2965792358	4,93463E+11"
"2019-03-08T10:00:00+01:00	4569483333	217736	1050999	5	37	2,3369E+11	162935	277026	29537	34264	17199529984	3567168170	4,93455E+11"
"2019-03-08T11:00:00+01:00	5132016666	190020	906734	7	32	2,33598E+11	184012	388266	34097	39580	17198621218	3948010973	4,93455E+11"
"2019-03-08T12:00:00+01:00	3060333333	114602	1341986	6	42	2,33584E+11	101085	121685	18822	20994	17197764881	3435327214	4,93455E+11"
"2019-03-08T13:00:00+01:00	1974916666	25292	1062229	0	34	2,33584E+11	78370	91443	14722	16174	17198586265	3040363588	4,93455E+11"
"2019-03-08T14:00:00+01:00	4529183333	38451	934058	1	32	2,335E+11	165905	195532	28434	31713	17198900838	3847767108	4,93455E+11"
"2019-03-08T15:00:00+01:00	5075300000	200721	1423001	11	43	2,33479E+11	181282	219699	32689	36931	17199337745	3990915208	4,93455E+11"
"2019-03-08T16:00:00+01:00	2604216666	236168	1954013	7	53	2,33479E+11	70246	86084	13471	14851	17200648465	3741878408	4,93455E+11"
"2019-03-08T17:00:00+01:00	1493966666	5614	1267285	0	36	2,3341E+11	42427	47342	7970	8621	17200561083	2985872588	4,93455E+11"
