Time;Number of bytes received
2019-03-22T15:00:00+01:00;9217877
2019-03-22T16:00:00+01:00;7286340
2019-03-22T17:00:00+01:00;6441301
2019-03-22T18:00:00+01:00;13393783
2019-03-22T19:00:00+01:00;21882436
2019-03-22T20:00:00+01:00;24378402
2019-03-22T21:00:00+01:00;26445476
2019-03-22T22:00:00+01:00;25659851
2019-03-22T23:00:00+01:00;26777131
2019-03-23T00:00:00+01:00;16717482
2019-03-23T01:00:00+01:00;6913041
2019-03-23T02:00:00+01:00;3761527
2019-03-23T03:00:00+01:00;2585890
2019-03-23T04:00:00+01:00;1357141
2019-03-23T05:00:00+01:00;1227195
2019-03-23T06:00:00+01:00;1377570
2019-03-23T07:00:00+01:00;2243142
2019-03-23T08:00:00+01:00;6769322
2019-03-23T09:00:00+01:00;11822984
2019-03-23T10:00:00+01:00;16631466
2019-03-23T11:00:00+01:00;19889851
2019-03-23T12:00:00+01:00;20390929
2019-03-23T13:00:00+01:00;20017220
2019-03-23T14:00:00+01:00;18346427
2019-03-23T15:00:00+01:00;14872610
2019-03-23T16:00:00+01:00;14975556
2019-03-23T17:00:00+01:00;21693440
2019-03-23T18:00:00+01:00;17734041
2019-03-23T19:00:00+01:00;19957794
2019-03-23T20:00:00+01:00;20607214
2019-03-23T21:00:00+01:00;23033651
2019-03-23T22:00:00+01:00;22012672
2019-03-23T23:00:00+01:00;21303620
2019-03-24T00:00:00+01:00;13963639
2019-03-24T01:00:00+01:00;11612040
2019-03-24T02:00:00+01:00;5457612
2019-03-24T03:00:00+01:00;3402086
2019-03-24T04:00:00+01:00;1799099
2019-03-24T05:00:00+01:00;2112017
2019-03-24T06:00:00+01:00;1834257
2019-03-24T07:00:00+01:00;2535082
2019-03-24T08:00:00+01:00;5902165
2019-03-24T09:00:00+01:00;9224527
2019-03-24T10:00:00+01:00;17070574
2019-03-24T11:00:00+01:00;20945152
2019-03-24T12:00:00+01:00;20552157
2019-03-24T13:00:00+01:00;23763950
2019-03-24T14:00:00+01:00;22834722
