Time;Number of packets received on interface Network adapter 1
2019-03-28T23:00:00+01:00;6141
2019-03-29T00:00:00+01:00;2399
2019-03-29T01:00:00+01:00;2277
2019-03-29T02:00:00+01:00;2298
2019-03-29T03:00:00+01:00;1766
2019-03-29T04:00:00+01:00;2634
2019-03-29T05:00:00+01:00;2414
2019-03-29T06:00:00+01:00;2613
2019-03-29T07:00:00+01:00;6214
2019-03-29T08:00:00+01:00;13545
2019-03-29T09:00:00+01:00;8536
2019-03-29T10:00:00+01:00;9113
2019-03-29T11:00:00+01:00;10738
2019-03-29T12:00:00+01:00;5659
2019-03-29T13:00:00+01:00;8374
2019-03-29T14:00:00+01:00;15676
2019-03-29T15:00:00+01:00;9459
2019-03-29T16:00:00+01:00;11287
2019-03-29T17:00:00+01:00;8431
2019-03-29T18:00:00+01:00;4982
2019-03-29T19:00:00+01:00;6483
2019-03-29T20:00:00+01:00;5080
2019-03-29T21:00:00+01:00;6562
