Time;Guest memory usage
2019-03-20T08:00:00+01:00;735471206
2019-03-20T09:00:00+01:00;721140667
2019-03-20T10:00:00+01:00;726872883
2019-03-20T11:00:00+01:00;764027426
2019-03-20T12:00:00+01:00;580736341
2019-03-20T13:00:00+01:00;752632900
2019-03-20T14:00:00+01:00;835715072
2019-03-20T15:00:00+01:00;746953113
2019-03-20T16:00:00+01:00;872887091
2019-03-20T17:00:00+01:00;660917452
2019-03-20T18:00:00+01:00;617978265
2019-03-20T19:00:00+01:00;701095389
2019-03-20T20:00:00+01:00;901618073
2019-03-20T21:00:00+01:00;775561762
2019-03-20T22:00:00+01:00;732605098
2019-03-20T23:00:00+01:00;715408452
2019-03-21T00:00:00+01:00;552110216
2019-03-21T01:00:00+01:00;420269260
2019-03-21T02:00:00+01:00;520583031
2019-03-21T03:00:00+01:00;374411537
2019-03-21T04:00:00+01:00;365813213
2019-03-21T05:00:00+01:00;405921245
2019-03-21T06:00:00+01:00;572138018
2019-03-21T07:00:00+01:00;655167761
2019-03-21T08:00:00+01:00;981694327
2019-03-21T09:00:00+01:00;884334045
2019-03-21T10:00:00+01:00;741185945
2019-03-21T11:00:00+01:00;892967321
2019-03-21T12:00:00+01:00;729756467
2019-03-21T13:00:00+01:00;758417544
2019-03-21T14:00:00+01:00;775579238
2019-03-21T15:00:00+01:00;781293977
2019-03-21T16:00:00+01:00;984577911
2019-03-21T17:00:00+01:00;792705979
2019-03-21T18:00:00+01:00;646656819
2019-03-21T19:00:00+01:00;658103773
2019-03-21T20:00:00+01:00;746883208
2019-03-21T21:00:00+01:00;847162026
2019-03-21T22:00:00+01:00;807053994
2019-03-21T23:00:00+01:00;827081796
2019-03-22T00:00:00+01:00;735418777
2019-03-22T01:00:00+01:00;448930338
2019-03-22T02:00:00+01:00;597915511
2019-03-22T03:00:00+01:00;360080998
2019-03-22T04:00:00+01:00;511932279
2019-03-22T05:00:00+01:00;483306154
2019-03-22T06:00:00+01:00;549244108
2019-03-22T07:00:00+01:00;709623808
2019-03-22T08:00:00+01:00;941498914
2019-03-22T09:00:00+01:00;649435545
2019-03-22T10:00:00+01:00;701077913
2019-03-22T11:00:00+01:00;792775884
2019-03-22T12:00:00+01:00;706810129
2019-03-22T13:00:00+01:00;864306244
2019-03-22T14:00:00+01:00;1036115421
2019-03-22T15:00:00+01:00;741203421
2019-03-22T16:00:00+01:00;775491857
2019-03-22T17:00:00+01:00;744069529
2019-03-22T18:00:00+01:00;746953113
2019-03-22T19:00:00+01:00;658121250
2019-03-22T20:00:00+01:00;620879325
2019-03-22T21:00:00+01:00;572172970
2019-03-22T22:00:00+01:00;666719573
2019-03-22T23:00:00+01:00;609344989
2019-03-23T00:00:00+01:00;692479590
2019-03-23T01:00:00+01:00;503368908
2019-03-23T02:00:00+01:00;480457523
2019-03-23T03:00:00+01:00;11223677883
2019-03-23T04:00:00+01:00;11352547874
2019-03-23T05:00:00+01:00;10522215492
2019-03-23T06:00:00+01:00;4308913356
2019-03-23T07:00:00+01:00;4655292962
2019-03-23T08:00:00+01:00;7063365222
2019-03-23T09:00:00+01:00;2845730406
2019-03-23T10:00:00+01:00;9374007296
2019-03-23T11:00:00+01:00;1396930423
2019-03-23T12:00:00+01:00;6275902122
2019-03-23T13:00:00+01:00;10659613900
2019-03-23T14:00:00+01:00;2244459451
2019-03-23T15:00:00+01:00;10908685653
2019-03-23T16:00:00+01:00;8171360529
2019-03-23T17:00:00+01:00;6439112977
2019-03-23T18:00:00+01:00;10696838348
2019-03-23T19:00:00+01:00;11667470199
2019-03-23T20:00:00+01:00;10006857864
2019-03-23T21:00:00+01:00;7249382604
2019-03-23T22:00:00+01:00;6510573431
2019-03-23T23:00:00+01:00;426001476
2019-03-24T00:00:00+01:00;271231658
2019-03-24T01:00:00+01:00;259767227
2019-03-24T02:00:00+01:00;377242692
2019-03-24T03:00:00+01:00;279829981
2019-03-24T04:00:00+01:00;305624951
2019-03-24T05:00:00+01:00;374411537
2019-03-24T06:00:00+01:00;334286028
2019-03-24T07:00:00+01:00;302758843
2019-03-24T08:00:00+01:00;511984708
2019-03-24T09:00:00+01:00;514815863
2019-03-24T10:00:00+01:00;695258316
2019-03-24T11:00:00+01:00;735418777
2019-03-24T12:00:00+01:00;666702097
2019-03-24T13:00:00+01:00;681050112
2019-03-24T14:00:00+01:00;815704746
2019-03-24T15:00:00+01:00;838581179
2019-03-24T16:00:00+01:00;1018971204
2019-03-24T17:00:00+01:00;910146491
2019-03-24T18:00:00+01:00;752650376
2019-03-24T19:00:00+01:00;807071470
2019-03-24T20:00:00+01:00;792688503
2019-03-24T21:00:00+01:00;835732548
2019-03-24T22:00:00+01:00;775456904
2019-03-24T23:00:00+01:00;609414894
2019-03-25T00:00:00+01:00;620879325
2019-03-25T01:00:00+01:00;457528661
