Time;Number of bytes transmitted on interface Network adapter 1
2019-03-21T09:00:00+01:00;38604
2019-03-21T10:00:00+01:00;154146
2019-03-21T11:00:00+01:00;24490
2019-03-21T12:00:00+01:00;71406
2019-03-21T13:00:00+01:00;33348
2019-03-21T14:00:00+01:00;28706
2019-03-21T15:00:00+01:00;25019
2019-03-21T16:00:00+01:00;30054
2019-03-21T17:00:00+01:00;9045
2019-03-21T18:00:00+01:00;45056
2019-03-21T19:00:00+01:00;24371
2019-03-21T20:00:00+01:00;5990
2019-03-21T21:00:00+01:00;16298
2019-03-21T22:00:00+01:00;4915
2019-03-21T23:00:00+01:00;36710
2019-03-22T00:00:00+01:00;4761
2019-03-22T01:00:00+01:00;9642
2019-03-22T02:00:00+01:00;2764
2019-03-22T03:00:00+01:00;11264
2019-03-22T04:00:00+01:00;3140
2019-03-22T05:00:00+01:00;8413
2019-03-22T06:00:00+01:00;31300
2019-03-22T07:00:00+01:00;15342
2019-03-22T08:00:00+01:00;31129
2019-03-22T09:00:00+01:00;26948
2019-03-22T10:00:00+01:00;53572
2019-03-22T11:00:00+01:00;19080
2019-03-22T12:00:00+01:00;81681
2019-03-22T13:00:00+01:00;24883
2019-03-22T14:00:00+01:00;49681
2019-03-22T15:00:00+01:00;31795
2019-03-22T16:00:00+01:00;11656
2019-03-22T17:00:00+01:00;14438
2019-03-22T18:00:00+01:00;55620
2019-03-22T19:00:00+01:00;10086
2019-03-22T20:00:00+01:00;5427
2019-03-22T21:00:00+01:00;8721
2019-03-22T22:00:00+01:00;4608
2019-03-22T23:00:00+01:00;25838
2019-03-23T00:00:00+01:00;7099
2019-03-23T01:00:00+01:00;6877
2019-03-23T02:00:00+01:00;3379
2019-03-23T03:00:00+01:00;11229
2019-03-23T04:00:00+01:00;6451
2019-03-23T05:00:00+01:00;6451
2019-03-23T06:00:00+01:00;15718
2019-03-23T07:00:00+01:00;6434
2019-03-23T08:00:00+01:00;3481
2019-03-23T09:00:00+01:00;8669
2019-03-23T10:00:00+01:00;8106
2019-03-23T11:00:00+01:00;8260
2019-03-23T12:00:00+01:00;10427
2019-03-23T13:00:00+01:00;4846
2019-03-23T14:00:00+01:00;5120
2019-03-23T15:00:00+01:00;3754
2019-03-23T16:00:00+01:00;12509
2019-03-23T17:00:00+01:00;6826
2019-03-23T18:00:00+01:00;9198
2019-03-23T19:00:00+01:00;5512
2019-03-23T20:00:00+01:00;7031
2019-03-23T21:00:00+01:00;3003
2019-03-23T22:00:00+01:00;13550
2019-03-23T23:00:00+01:00;35857
2019-03-24T00:00:00+01:00;6434
2019-03-24T01:00:00+01:00;12373
2019-03-24T02:00:00+01:00;3123
2019-03-24T03:00:00+01:00;2833
2019-03-24T04:00:00+01:00;24285
2019-03-24T05:00:00+01:00;12714
2019-03-24T06:00:00+01:00;7901
2019-03-24T07:00:00+01:00;12800
2019-03-24T08:00:00+01:00;3652
2019-03-24T09:00:00+01:00;3106
2019-03-24T10:00:00+01:00;11605
2019-03-24T11:00:00+01:00;8584
2019-03-24T12:00:00+01:00;16128
2019-03-24T13:00:00+01:00;16110
2019-03-24T14:00:00+01:00;6314
2019-03-24T15:00:00+01:00;2662
2019-03-24T16:00:00+01:00;3106
2019-03-24T17:00:00+01:00;8430
2019-03-24T18:00:00+01:00;8704
2019-03-24T19:00:00+01:00;8994
2019-03-24T20:00:00+01:00;8106
2019-03-24T21:00:00+01:00;3396
2019-03-24T22:00:00+01:00;11895
2019-03-24T23:00:00+01:00;47735
2019-03-25T00:00:00+01:00;2355
2019-03-25T01:00:00+01:00;19712
2019-03-25T02:00:00+01:00;3225
2019-03-25T03:00:00+01:00;2781
2019-03-25T04:00:00+01:00;3942
2019-03-25T05:00:00+01:00;14643
2019-03-25T06:00:00+01:00;30105
2019-03-25T07:00:00+01:00;9062
2019-03-25T08:00:00+01:00;24661
2019-03-25T09:00:00+01:00;28893
2019-03-25T10:00:00+01:00;56985
2019-03-25T11:00:00+01:00;32119
2019-03-25T12:00:00+01:00;66389
