Time;dsi-openmanage: CPU usage;IF-MSSQL-TESTS: CPU usage;PCT-QRC-TEAM: CPU usage;MATEIS-CHIMITHEQUE: CPU usage;MSIF2018-WEB: CPU usage;MSIF2018-MID: CPU usage;CETHIL-FLEXLM2: CPU usage;HEBERGEMENTS: CPU usage;MOUVINSA-PRIV: CPU usage;MOUVINSA: CPU usage;TC-NET3: CPU usage
2019-06-06T15:07:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:08:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T15:09:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:10:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:11:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:12:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:13:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:14:00+02:00;74000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T15:15:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T15:16:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:17:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:18:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:19:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:20:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:21:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:22:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:23:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:24:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T15:25:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:26:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T15:27:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:28:00+02:00;55000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T15:29:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:30:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:31:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:32:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:33:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:34:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:35:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:36:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:37:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:38:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T15:39:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T15:40:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:41:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:42:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:43:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:44:00+02:00;55000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T15:45:00+02:00;74000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T15:46:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:47:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:48:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:49:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T15:50:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:51:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:52:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:53:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T15:54:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:55:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T15:56:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:57:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T15:58:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T15:59:00+02:00;74000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T16:00:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:01:00+02:00;372000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:02:00+02:00;372000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:03:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:04:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:05:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T16:06:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:07:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:08:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T16:09:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:10:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:11:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:12:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:13:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:14:00+02:00;55000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T16:15:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T16:16:00+02:00;74000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T16:17:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:18:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:19:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:20:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:21:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:22:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:23:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:24:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:25:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:26:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:27:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:28:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:29:00+02:00;74000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T16:30:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:31:00+02:00;93000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:32:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:33:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:34:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:35:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:36:00+02:00;74000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T16:37:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:38:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:39:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T16:40:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:41:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:42:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:43:00+02:00;55000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T16:44:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T16:45:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
