Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Average read latency of the datastore LUN_080;Average read latency of the datastore LUN_081;Average read latency of the datastore LUN_082;Average read latency of the datastore LUN_083;Average read latency of the datastore LUN_084;Average read latency of the datastore LUN_085;Average write latency of the datastore LUN_080;Average write latency of the datastore LUN_081;Average write latency of the datastore LUN_082;Average write latency of the datastore LUN_083;Average write latency of the datastore LUN_084;Average write latency of the datastore LUN_085
2019-06-27T02:38:00+02:00;7773000000;2,25E+11;2313216;30521344;3,5;2,5;0;3;0,5;4,5;1;1;1,5;0;1;0,5
2019-06-27T02:40:00+02:00;7953000000;2,25E+11;1681408;22152704;2;3;2;0;6;3,5;1;32;1,5;19;3;3
2019-06-27T02:42:00+02:00;7562500000;2,25E+11;1750016;29355008;0,5;0;0,5;0;0,5;6;2;32,5;2;19;3,5;0
2019-06-27T02:44:00+02:00;6458000000;2,25E+11;1216000;28830720;1,5;0,5;1,5;0;1;4,5;1;0;1,5;1;1;1
2019-06-27T02:46:00+02:00;9228500000;2,25E+11;1677312;27457536;0,5;0,5;1,5;0;1;2;2;2;2;1;1;13
2019-06-27T02:48:00+02:00;7848500000;2,25E+11;1152000;28423680;1,5;0,5;0,5;2,5;0,5;4;1;3,5;1,5;0;1,5;12,5
2019-06-27T02:50:00+02:00;8332500000;2,24E+11;1114624;18292736;4;1;2;0;3;18;3;2;1;5;4,5;3,5
2019-06-27T02:52:00+02:00;8040500000;2,24E+11;1753088;31653888;1,5;0;2,5;0;0,5;17,5;6;12;8;6;4;3
2019-06-27T02:54:00+02:00;7122500000;2,24E+11;922112;12457472;0;0;1;0;3;3,5;1;0,5;2;0;2;1
2019-06-27T02:56:00+02:00;8011000000;2,24E+11;1532928;17391104;9;0;2,5;0;5,5;5,5;5;1,5;5,5;3,5;8;2
2019-06-27T02:58:00+02:00;7131500000;2,24E+11;1122304;13350400;0;0;1;0;0,5;3,5;2;0,5;1,5;1;1,5;1,5
2019-06-27T03:00:00+02:00;10331500000;2,24E+11;1657856;21535232;0;0;0,5;0;0,5;3;1;0;2;0;0;4,5
2019-06-27T03:02:00+02:00;12751500000;2,24E+11;3293696;16596480;2,5;2,5;9,5;0;4;13;5,5;4,5;5;6,5;8,5;5
2019-06-27T03:04:00+02:00;12626000000;2,25E+11;8742912;28048384;1;1,5;1;0;0;2;1;1;0;0;2;1,5
2019-06-27T03:06:00+02:00;9729000000;2,25E+11;5184000;23403520;1,5;2,5;4;0;5;6,5;4,5;7,5;5;2,5;5;2
2019-06-27T03:08:00+02:00;7933000000;2,25E+11;1172480;21898752;2,5;0;7;0;0;6;1;0;0;1;1;1,5
2019-06-27T03:10:00+02:00;7942500000;2,25E+11;1470464;20071424;1;0;1,5;0;0;5,5;1,5;1;2;0;2,5;1
